,state,total_count,post_code,latitude,longitude
0,Alabama,876,AL,32.318231,-86.902298
1,Alaska,69,AK,63.588753000000004,-154.493062
2,Arizona,916,AZ,34.048928000000004,-111.093731
3,Arkansas,472,AR,35.20105,-91.83183299999999
4,California,3259,CA,36.778261,-119.41793200000001
5,Colorado,588,CO,39.550051,-105.782067
6,Connecticut,276,CT,41.603221000000005,-73.087749
7,Delaware,104,DE,38.910832,-75.52767
8,District of Columbia,30,DC,38.905985,-77.03341800000001
9,Florida,2915,FL,27.664827000000002,-81.515754
10,Georgia,1407,GA,32.157435,-82.907123
11,Hawaii,110,HI,19.898682,-155.66585700000002
12,Idaho,212,ID,44.068202,-114.74204099999999
13,Illinois,948,IL,40.633125,-89.398528
14,Indiana,774,IN,40.551217,-85.602364
15,Iowa,291,IA,41.878003,-93.097702
16,Kansas,366,KS,39.011902,-98.484246
17,Kentucky,664,KY,37.839333,-84.27001800000001
18,Louisiana,716,LA,31.244822999999997,-92.14502399999999
19,Maine,128,ME,45.253783,-69.44546899999999
20,Maryland,474,MD,39.045755,-76.641271
21,Massachusetts,343,MA,42.407211,-71.382437
22,Michigan,905,MI,44.314844,-85.602364
23,Minnesota,349,MN,46.729553,-94.6859
24,Mississippi,597,MS,32.354668,-89.398528
25,Missouri,848,MO,37.964253,-91.83183299999999
26,Montana,168,MT,46.879682,-110.36256599999999
27,Nebraska,201,NE,41.492537,-99.901813
28,Nevada,300,NV,38.802609999999994,-116.419389
29,New Hampshire,134,NH,43.193852,-71.572395
30,New Jersey,525,NJ,40.058324,-74.405661
31,New Mexico,350,NM,34.97273,-105.03236299999999
32,New York,889,NY,43.299428000000006,-74.217933
33,North Carolina,1321,NC,35.759572999999996,-79.0193
34,North Dakota,95,ND,47.551493,-101.002012
35,Ohio,996,OH,40.417287,-82.907123
36,Oklahoma,603,OK,35.007752,-97.092877
37,Oregon,450,OR,43.804133,-120.554201
38,Pennsylvania,1103,PA,41.203322,-77.194525
39,Rhode Island,56,RI,41.580095,-71.477429
40,South Carolina,970,SC,33.836081,-81.163725
41,South Dakota,110,SD,43.969515,-99.901813
42,Tennessee,974,TN,35.517491,-86.58044699999999
43,Texas,3305,TX,31.968598999999998,-99.901813
44,Utah,237,UT,39.32098,-111.093731
45,Vermont,60,VT,44.558803000000005,-72.577841
46,Virginia,778,VA,37.431573,-78.656894
47,Washington,497,WA,47.751073999999996,-120.74013899999999
48,West Virginia,265,WV,38.597626,-80.454903
49,Wisconsin,530,WI,43.784440000000004,-88.787868
50,Wyoming,100,WY,43.075967999999996,-107.29028400000001
