fips_code,state,FATALS,fatal_count
1,Alabama,1,810
1,Alabama,2,56
1,Alabama,3,9
1,Alabama,4,1
2,Alaska,1,62
2,Alaska,2,5
2,Alaska,4,2
4,Arizona,1,849
4,Arizona,2,50
4,Arizona,3,11
4,Arizona,4,5
4,Arizona,8,1
5,Arkansas,1,432
5,Arkansas,2,36
5,Arkansas,3,4
6,California,1,3014
6,California,2,202
6,California,3,32
6,California,4,7
6,California,5,3
6,California,6,1
8,Colorado,1,550
8,Colorado,2,33
8,Colorado,3,4
8,Colorado,4,1
9,Connecticut,1,261
9,Connecticut,2,12
9,Connecticut,3,3
10,Delaware,1,100
10,Delaware,2,3
10,Delaware,5,1
11,District of Columbia,1,29
11,District of Columbia,2,1
12,Florida,1,2742
12,Florida,2,143
12,Florida,3,18
12,Florida,4,9
12,Florida,5,3
13,Georgia,1,1321
13,Georgia,2,76
13,Georgia,3,9
13,Georgia,4,1
15,Hawaii,1,104
15,Hawaii,2,5
15,Hawaii,3,1
16,Idaho,1,197
16,Idaho,2,13
16,Idaho,4,2
17,Illinois,1,877
17,Illinois,2,60
17,Illinois,3,10
17,Illinois,4,1
18,Indiana,1,707
18,Indiana,2,54
18,Indiana,3,9
18,Indiana,4,4
19,Iowa,1,269
19,Iowa,2,17
19,Iowa,3,5
20,Kansas,1,334
20,Kansas,2,26
20,Kansas,3,6
21,Kentucky,1,613
21,Kentucky,2,44
21,Kentucky,3,6
21,Kentucky,5,1
22,Louisiana,1,670
22,Louisiana,2,41
22,Louisiana,3,4
22,Louisiana,4,1
23,Maine,1,121
23,Maine,2,6
23,Maine,4,1
24,Maryland,1,449
24,Maryland,2,23
24,Maryland,3,2
25,Massachusetts,1,329
25,Massachusetts,2,12
25,Massachusetts,3,1
25,Massachusetts,4,1
26,Michigan,1,841
26,Michigan,2,59
26,Michigan,3,5
27,Minnesota,1,322
27,Minnesota,2,22
27,Minnesota,3,5
28,Mississippi,1,539
28,Mississippi,2,50
28,Mississippi,3,7
28,Mississippi,4,1
29,Missouri,1,788
29,Missouri,2,50
29,Missouri,3,7
29,Missouri,4,3
30,Montana,1,157
30,Montana,2,9
30,Montana,3,1
30,Montana,4,1
31,Nebraska,1,177
31,Nebraska,2,21
31,Nebraska,3,1
31,Nebraska,4,2
32,Nevada,1,276
32,Nevada,2,21
32,Nevada,3,1
32,Nevada,4,1
32,Nevada,5,1
33,New Hampshire,1,124
33,New Hampshire,2,8
33,New Hampshire,3,1
33,New Hampshire,4,1
34,New Jersey,1,492
34,New Jersey,2,28
34,New Jersey,3,4
34,New Jersey,4,1
35,New Mexico,1,318
35,New Mexico,2,28
35,New Mexico,3,3
35,New Mexico,8,1
36,New York,1,861
36,New York,2,21
36,New York,3,5
36,New York,5,1
36,New York,20,1
37,North Carolina,1,1221
37,North Carolina,2,86
37,North Carolina,3,12
37,North Carolina,4,2
38,North Dakota,1,87
38,North Dakota,2,6
38,North Dakota,3,2
39,Ohio,1,934
39,Ohio,2,54
39,Ohio,3,6
39,Ohio,4,2
40,Oklahoma,1,555
40,Oklahoma,2,44
40,Oklahoma,3,4
41,Oregon,1,411
41,Oregon,2,29
41,Oregon,3,7
41,Oregon,4,2
41,Oregon,8,1
42,Pennsylvania,1,1027
42,Pennsylvania,2,66
42,Pennsylvania,3,9
42,Pennsylvania,4,1
44,Rhode Island,1,53
44,Rhode Island,2,3
45,South Carolina,1,914
45,South Carolina,2,48
45,South Carolina,3,5
45,South Carolina,4,3
46,South Dakota,1,96
46,South Dakota,2,10
46,South Dakota,3,3
46,South Dakota,5,1
47,Tennessee,1,923
47,Tennessee,2,37
47,Tennessee,3,12
47,Tennessee,4,2
48,Texas,1,3029
48,Texas,2,234
48,Texas,3,27
48,Texas,4,11
48,Texas,5,4
49,Utah,1,222
49,Utah,2,10
49,Utah,3,4
49,Utah,6,1
50,Vermont,1,52
50,Vermont,2,8
51,Virginia,1,740
51,Virginia,2,34
51,Virginia,3,4
53,Washington,1,459
53,Washington,2,29
53,Washington,3,7
53,Washington,4,2
54,West Virginia,1,239
54,West Virginia,2,23
54,West Virginia,3,3
55,Wisconsin,1,480
55,Wisconsin,2,43
55,Wisconsin,3,6
55,Wisconsin,4,1
56,Wyoming,1,92
56,Wyoming,2,5
56,Wyoming,3,3
